 04/06/2020 14:41:47
   RUN    YR MONTH     CAWT  EFFORT
     1  2007     1 1093.597   0.038
     1  2007     2 1036.276   0.035
     1  2007     3  960.035   0.035
     1  2007     4  943.214   0.033
     1  2007     5  883.818   0.033
     1  2007     6  964.248   0.036
     1  2007     7  954.849   0.035
     1  2007     8  939.294   0.035
     1  2007     9  921.658   0.034
     1  2007    10  970.898   0.035
     1  2007    11  966.663   0.036
     1  2007    12  916.168   0.034
     1  2008     1  984.675   0.033
     1  2008     2  984.468   0.036
     1  2008     3  951.524   0.032
     1  2008     4  987.951   0.035
     1  2008     5  960.650   0.033
     1  2008     6  968.191   0.034
     1  2008     7 1008.721   0.035
     1  2008     8  965.132   0.033
     1  2008     9  995.761   0.034
     1  2008    10  989.099   0.033
     1  2008    11  950.532   0.032
     1  2008    12  947.223   0.033
     1  2009     1  915.396   0.033
     1  2009     2  938.697   0.034
     1  2009     3  857.936   0.032
     1  2009     4  895.266   0.033
     1  2009     5  883.834   0.034
     1  2009     6 1002.048   0.037
     1  2009     7 1003.416   0.037
     1  2009     8  961.266   0.037
     1  2009     9  997.618   0.039
     1  2009    10 1023.052   0.042
     1  2009    11 1013.212   0.041
     1  2009    12 1074.738   0.045
     1  2010     1 1013.248   0.033
     1  2010     2 1191.128   0.038
     1  2010     3 1130.836   0.038
     1  2010     4 1161.842   0.038
     1  2010     5 1182.928   0.039
     1  2010     6 1209.983   0.040
     1  2010     7 1127.570   0.039
     1  2010     8 1190.506   0.038
     1  2010     9 1186.615   0.039
     1  2010    10 1132.906   0.037
     1  2010    11 1230.553   0.039
     1  2010    12 1210.921   0.039
     1  2011     1 1169.369   0.033
     1  2011     2 1240.031   0.036
     1  2011     3 1172.133   0.032
     1  2011     4 1180.060   0.032
     1  2011     5 1133.877   0.031
     1  2011     6 1121.377   0.032
     1  2011     7 1170.983   0.032
     1  2011     8 1121.417   0.032
     1  2011     9 1205.947   0.034
     1  2011    10 1222.021   0.033
     1  2011    11 1181.339   0.031
     1  2011    12 1085.663   0.029
     1  2012     1 1153.255   0.034
     1  2012     2 1215.687   0.036
     1  2012     3 1059.468   0.032
     1  2012     4 1021.481   0.031
     1  2012     5 1077.049   0.031
     1  2012     6 1094.865   0.032
     1  2012     7 1119.067   0.033
     1  2012     8 1056.730   0.030
     1  2012     9 1008.064   0.029
     1  2012    10 1153.438   0.032
     1  2012    11 1026.574   0.030
     1  2012    12 1099.252   0.031
     1  2013     1 1058.484   0.034
     1  2013     2 1140.696   0.036
     1  2013     3 1051.474   0.034
     1  2013     4 1011.402   0.032
     1  2013     5 1104.577   0.036
     1  2013     6 1052.819   0.035
     1  2013     7 1074.107   0.037
     1  2013     8 1053.512   0.036
     1  2013     9 1087.433   0.039
     1  2013    10 1146.209   0.041
     1  2013    11 1300.444   0.046
     1  2013    12 1149.614   0.043
     1  2014     1 1207.345   0.036
     1  2014     2 1181.613   0.035
     1  2014     3 1310.818   0.040
     1  2014     4 1417.611   0.040
     1  2014     5 1174.453   0.036
     1  2014     6 1080.179   0.033
     1  2014     7 1254.759   0.039
     1  2014     8 1290.818   0.039
     1  2014     9 1299.469   0.041
     1  2014    10 1226.812   0.038
     1  2014    11 1297.003   0.039
     1  2014    12 1271.428   0.039
     1  2015     1 1370.942   0.036
     1  2015     2 1231.675   0.033
     1  2015     3 1339.070   0.035
     1  2015     4 1222.972   0.032
     1  2015     5 1284.945   0.034
     1  2015     6 1194.987   0.032
     1  2015     7 1281.566   0.035
     1  2015     8 1328.291   0.033
     1  2015     9 1317.718   0.034
     1  2015    10 1344.834   0.034
     1  2015    11 1494.449   0.036
     1  2015    12 1248.138   0.032
     1  2016     1 1273.722   0.034
     1  2016     2 1351.422   0.036
     1  2016     3 1265.547   0.034
     1  2016     4 1427.218   0.036
     1  2016     5 1235.447   0.033
     1  2016     6 1303.880   0.034
     1  2016     7 1223.489   0.033
     1  2016     8 1221.804   0.033
     1  2016     9 1300.561   0.034
     1  2016    10 1286.811   0.034
     1  2016    11 1276.550   0.034
     1  2016    12 1363.804   0.034
     1  2017     1 1372.750   0.037
     1  2017     2 1260.277   0.034
     1  2017     3 1228.524   0.033
     1  2017     4 1225.455   0.033
     1  2017     5 1240.352   0.033
     1  2017     6 1251.370   0.033
     1  2017     7 1249.930   0.036
     1  2017     8 1251.006   0.033
     1  2017     9 1312.140   0.034
     1  2017    10 1162.010   0.030
     1  2017    11 1091.402   0.029
     1  2017    12 1121.411   0.030
     1  2018     1 1201.935   0.035
     1  2018     2 1027.668   0.030
     1  2018     3 1268.055   0.036
     1  2018     4 1164.689   0.033
     1  2018     5 1149.726   0.033
     1  2018     6 1186.857   0.034
     1  2018     7 1145.757   0.031
     1  2018     8 1066.801   0.031
     1  2018     9 1141.010   0.031
     1  2018    10 1167.775   0.033
     1  2018    11 1075.398   0.030
     1  2018    12 1064.134   0.029
     1  2019     1 1113.444   0.035
     1  2019     2 1033.041   0.032
     1  2019     3 1075.740   0.033
     1  2019     4 1077.784   0.033
     1  2019     5 1033.105   0.031
     1  2019     6 1086.888   0.032
     1  2019     7 1087.627   0.032
     1  2019     8 1030.911   0.032
     1  2019     9 1026.885   0.031
     1  2019    10 1007.996   0.031
     1  2019    11  968.219   0.030
     1  2019    12  949.553   0.029
     2  1990     1  977.265   0.034
     2  1990     2 1019.010   0.034
     2  1990     3 1060.058   0.037
     2  1990     4 1013.726   0.034
     2  1990     5 1049.803   0.035
     2  1990     6 1019.279   0.035
     2  1990     7 1080.624   0.036
     2  1990     8 1069.185   0.036
     2  1990     9 1010.303   0.034
     2  1990    10 1024.832   0.035
     2  1990    11 1027.043   0.034
     2  1990    12 1031.338   0.035
     2  1991     1 1050.624   0.035
     2  1991     2  978.399   0.033
     2  1991     3 1039.973   0.036
     2  1991     4 1067.348   0.036
     2  1991     5 1054.569   0.036
     2  1991     6 1016.151   0.036
     2  1991     7 1060.013   0.036
     2  1991     8  906.932   0.032
     2  1991     9  956.339   0.032
     2  1991    10  998.800   0.035
     2  1991    11 1026.724   0.034
     2  1991    12  987.396   0.033
     2  1992     1  983.703   0.033
     2  1992     2  975.285   0.033
     2  1992     3 1078.245   0.036
     2  1992     4 1009.289   0.035
     2  1992     5 1051.797   0.036
     2  1992     6  999.785   0.035
     2  1992     7  977.050   0.033
     2  1992     8 1017.803   0.034
     2  1992     9  978.106   0.032
     2  1992    10  969.608   0.034
     2  1992    11  975.889   0.034
     2  1992    12 1054.258   0.035
     2  1993     1  984.526   0.033
     2  1993     2 1146.077   0.037
     2  1993     3  981.065   0.033
     2  1993     4 1076.167   0.036
     2  1993     5  999.371   0.034
     2  1993     6 1107.916   0.037
     2  1993     7 1032.109   0.035
     2  1993     8 1073.925   0.036
     2  1993     9 1029.281   0.035
     2  1993    10 1007.049   0.036
     2  1993    11  948.956   0.032
     2  1993    12 1110.992   0.036
     2  1994     1 1015.039   0.035
     2  1994     2  993.803   0.035
     2  1994     3  986.158   0.033
     2  1994     4 1019.364   0.036
     2  1994     5 1024.206   0.036
     2  1994     6 1086.821   0.036
     2  1994     7 1032.335   0.036
     2  1994     8 1054.501   0.038
     2  1994     9 1111.369   0.039
     2  1994    10 1076.488   0.038
     2  1994    11 1083.948   0.038
     2  1994    12 1144.693   0.041
     2  1995     1 1253.250   0.038
     2  1995     2 1171.994   0.035
     2  1995     3 1117.195   0.036
     2  1995     4 1234.826   0.039
     2  1995     5 1181.522   0.038
     2  1995     6 1165.879   0.036
     2  1995     7 1151.542   0.034
     2  1995     8 1107.397   0.033
     2  1995     9 1068.467   0.034
     2  1995    10 1151.835   0.036
     2  1995    11 1232.029   0.036
     2  1995    12 1132.284   0.034
     2  1996     1 1096.285   0.033
     2  1996     2 1173.432   0.034
     2  1996     3 1152.245   0.035
     2  1996     4 1197.344   0.036
     2  1996     5 1141.452   0.033
     2  1996     6 1074.132   0.031
     2  1996     7 1113.833   0.033
     2  1996     8 1060.365   0.030
     2  1996     9 1112.711   0.032
     2  1996    10 1052.790   0.031
     2  1996    11 1060.326   0.030
     2  1996    12 1023.879   0.030
     2  1997     1 1070.152   0.034
     2  1997     2 1072.611   0.035
     2  1997     3  936.359   0.030
     2  1997     4 1070.706   0.037
     2  1997     5  998.949   0.032
     2  1997     6 1077.855   0.034
     2  1997     7 1036.185   0.032
     2  1997     8 1066.212   0.034
     2  1997     9  897.115   0.029
     2  1997    10  983.237   0.032
     2  1997    11  972.457   0.030
     2  1997    12  987.433   0.030
     2  1998     1  935.049   0.034
     2  1998     2  902.539   0.032
     2  1998     3  967.670   0.034
     2  1998     4  957.456   0.034
     2  1998     5  951.914   0.032
     2  1998     6  974.086   0.033
     2  1998     7  952.997   0.034
     2  1998     8  805.606   0.030
     2  1998     9  963.591   0.034
     2  1998    10  958.416   0.033
     2  1998    11  883.359   0.032
     2  1998    12  949.798   0.033
     2  1999     1  889.035   0.034
     2  1999     2  896.573   0.034
     2  1999     3  899.085   0.032
     2  1999     4  888.384   0.034
     2  1999     5  888.947   0.033
     2  1999     6  829.560   0.032
     2  1999     7  844.410   0.032
     2  1999     8  785.372   0.031
     2  1999     9  906.222   0.033
     2  1999    10  888.934   0.032
     2  1999    11  827.489   0.032
     2  1999    12  721.161   0.028
     2  2000     1  789.933   0.033
     2  2000     2  865.234   0.036
     2  2000     3  805.303   0.035
     2  2000     4  816.868   0.036
     2  2000     5  785.640   0.034
     2  2000     6  865.076   0.037
     2  2000     7  786.348   0.033
     2  2000     8  712.703   0.030
     2  2000     9  784.195   0.034
     2  2000    10  730.033   0.032
     2  2000    11  768.337   0.034
     2  2000    12  773.879   0.034
     2  2001     1  735.168   0.034
     2  2001     2  809.043   0.037
     2  2001     3  820.225   0.036
     2  2001     4  744.297   0.034
     2  2001     5  756.054   0.037
     2  2001     6  721.277   0.033
     2  2001     7  772.391   0.037
     2  2001     8  825.388   0.037
     2  2001     9  789.690   0.038
     2  2001    10  804.237   0.035
     2  2001    11  796.377   0.036
     2  2001    12  712.114   0.033
     2  2002     1  761.060   0.034
     2  2002     2  840.512   0.038
     2  2002     3  744.586   0.035
     2  2002     4  762.695   0.036
     2  2002     5  842.690   0.039
     2  2002     6  801.087   0.040
     2  2002     7  846.969   0.040
     2  2002     8  850.574   0.040
     2  2002     9  844.335   0.044
     2  2002    10  937.923   0.048
     2  2002    11  847.649   0.043
     2  2002    12  882.401   0.046
     2  2003     1  901.706   0.035
     2  2003     2  979.173   0.036
     2  2003     3  910.776   0.037
     2  2003     4 1056.613   0.041
     2  2003     5  982.532   0.038
     2  2003     6 1001.682   0.038
     2  2003     7 1023.262   0.040
     2  2003     8  967.016   0.038
     2  2003     9 1068.320   0.043
     2  2003    10 1045.639   0.041
     2  2003    11 1035.700   0.039
     2  2003    12 1017.879   0.041
     2  2004     1  986.917   0.033
     2  2004     2 1024.326   0.034
     2  2004     3 1114.385   0.036
     2  2004     4 1069.239   0.035
     2  2004     5  957.803   0.032
     2  2004     6 1031.397   0.033
     2  2004     7 1027.465   0.033
     2  2004     8 1016.065   0.031
     2  2004     9 1007.411   0.032
     2  2004    10  973.720   0.032
     2  2004    11  953.376   0.032
     2  2004    12  936.684   0.030
     2  2005     1  973.524   0.033
     2  2005     2  987.773   0.034
     2  2005     3  873.925   0.031
     2  2005     4  969.147   0.033
     2  2005     5  952.107   0.033
     2  2005     6  947.381   0.033
     2  2005     7 1026.220   0.035
     2  2005     8 1048.080   0.034
     2  2005     9  945.436   0.032
     2  2005    10  906.279   0.032
     2  2005    11  921.653   0.030
     2  2005    12  874.852   0.031
     2  2006     1  983.693   0.036
     2  2006     2  945.803   0.034
     2  2006     3  931.476   0.033
     2  2006     4  951.008   0.035
     2  2006     5  985.027   0.035
     2  2006     6  944.949   0.034
     2  2006     7  915.007   0.032
     2  2006     8  990.683   0.035
     2  2006     9  918.854   0.033
     2  2006    10 1047.908   0.037
     2  2006    11  963.869   0.034
     2  2006    12 1008.430   0.036
     2  2007     1  927.875   0.034
     2  2007     2  884.701   0.034
     2  2007     3  955.284   0.033
     2  2007     4  969.647   0.034
     2  2007     5  923.233   0.034
     2  2007     6 1005.633   0.037
     2  2007     7  974.822   0.036
     2  2007     8 1032.791   0.038
     2  2007     9  935.991   0.033
     2  2007    10  964.605   0.035
     2  2007    11 1001.498   0.036
     2  2007    12 1009.815   0.037
     2  2008     1  899.417   0.032
     2  2008     2 1044.086   0.036
     2  2008     3  973.774   0.034
     2  2008     4  975.325   0.035
     2  2008     5  903.690   0.033
     2  2008     6  972.925   0.034
     2  2008     7  897.523   0.032
     2  2008     8  957.321   0.033
     2  2008     9 1041.848   0.035
     2  2008    10  994.673   0.035
     2  2008    11  933.462   0.032
     2  2008    12  904.121   0.032
     2  2009     1  864.168   0.032
     2  2009     2  923.252   0.034
     2  2009     3  882.399   0.032
     2  2009     4 1012.115   0.037
     2  2009     5 1048.036   0.038
     2  2009     6  963.564   0.035
     2  2009     7 1022.326   0.040
     2  2009     8 1054.663   0.041
     2  2009     9 1049.848   0.042
     2  2009    10 1032.344   0.041
     2  2009    11 1030.665   0.042
     2  2009    12 1020.759   0.040
     2  2010     1 1168.975   0.038
     2  2010     2 1155.898   0.037
     2  2010     3 1131.755   0.038
     2  2010     4 1070.485   0.037
     2  2010     5 1236.612   0.040
     2  2010     6 1140.151   0.039
     2  2010     7 1148.811   0.039
     2  2010     8 1187.048   0.038
     2  2010     9 1222.096   0.038
     2  2010    10 1275.012   0.041
     2  2010    11 1113.601   0.035
     2  2010    12 1195.752   0.039
     2  2011     1 1086.487   0.033
     2  2011     2 1127.056   0.033
     2  2011     3 1281.827   0.036
     2  2011     4 1146.160   0.034
     2  2011     5 1175.486   0.032
     2  2011     6 1132.299   0.033
     2  2011     7 1186.782   0.032
     2  2011     8 1098.945   0.030
     2  2011     9 1139.909   0.031
     2  2011    10 1227.406   0.033
     2  2011    11 1129.400   0.031
     2  2011    12 1122.548   0.030
     2  2012     1 1079.350   0.033
     2  2012     2 1163.040   0.034
     2  2012     3 1113.877   0.033
     2  2012     4 1124.767   0.033
     2  2012     5 1062.126   0.032
     2  2012     6 1183.195   0.036
     2  2012     7 1067.813   0.031
     2  2012     8 1166.353   0.033
     2  2012     9 1057.708   0.030
     2  2012    10 1004.486   0.029
     2  2012    11 1055.694   0.030
     2  2012    12 1108.337   0.032
     2  2013     1  966.030   0.033
     2  2013     2  925.763   0.031
     2  2013     3 1018.351   0.034
     2  2013     4 1007.826   0.033
     2  2013     5 1084.010   0.036
     2  2013     6 1107.586   0.039
     2  2013     7 1122.353   0.038
     2  2013     8  964.788   0.034
     2  2013     9 1060.926   0.038
     2  2013    10 1113.227   0.040
     2  2013    11 1158.305   0.041
     2  2013    12 1169.673   0.043
     2  2014     1 1126.486   0.035
     2  2014     2 1233.525   0.038
     2  2014     3 1179.712   0.036
     2  2014     4 1256.025   0.039
     2  2014     5 1250.411   0.039
     2  2014     6 1261.562   0.039
     2  2014     7 1207.408   0.038
     2  2014     8 1275.936   0.040
     2  2014     9 1351.140   0.042
     2  2014    10 1288.227   0.039
     2  2014    11 1279.247   0.038
     2  2014    12 1287.758   0.040
     2  2015     1 1255.574   0.034
     2  2015     2 1219.936   0.034
     2  2015     3 1239.610   0.033
     2  2015     4 1248.490   0.033
     2  2015     5 1309.784   0.034
     2  2015     6 1269.808   0.034
     2  2015     7 1269.596   0.032
     2  2015     8 1220.421   0.032
     2  2015     9 1306.661   0.034
     2  2015    10 1273.919   0.033
     2  2015    11 1188.749   0.030
     2  2015    12 1311.116   0.032
     2  2016     1 1407.799   0.038
     2  2016     2 1221.964   0.032
     2  2016     3 1307.795   0.034
     2  2016     4 1415.831   0.036
     2  2016     5 1320.295   0.036
     2  2016     6 1342.185   0.034
     2  2016     7 1272.780   0.033
     2  2016     8 1393.360   0.037
     2  2016     9 1274.579   0.034
     2  2016    10 1279.367   0.034
     2  2016    11 1318.765   0.034
     2  2016    12 1186.875   0.032
     2  2017     1 1279.232   0.034
     2  2017     2 1297.294   0.036
     2  2017     3 1194.407   0.032
     2  2017     4 1282.418   0.035
     2  2017     5 1294.034   0.034
     2  2017     6 1230.064   0.033
     2  2017     7 1242.086   0.034
     2  2017     8 1266.480   0.034
     2  2017     9 1164.575   0.031
     2  2017    10 1177.755   0.031
     2  2017    11 1279.203   0.034
     2  2017    12 1222.867   0.032
     2  2018     1 1135.492   0.033
     2  2018     2 1155.194   0.035
     2  2018     3 1091.688   0.030
     2  2018     4 1118.307   0.032
     2  2018     5 1145.468   0.033
     2  2018     6 1122.717   0.033
     2  2018     7 1217.431   0.034
     2  2018     8 1035.654   0.031
     2  2018     9 1121.698   0.031
     2  2018    10 1186.503   0.034
     2  2018    11 1132.261   0.031
     2  2018    12 1139.455   0.032
     2  2019     1 1234.242   0.039
     2  2019     2 1228.604   0.036
     2  2019     3 1129.462   0.035
     2  2019     4 1051.443   0.033
     2  2019     5  991.099   0.031
     2  2019     6 1017.084   0.030
     2  2019     7  957.579   0.031
     2  2019     8 1007.987   0.031
     2  2019     9 1034.273   0.033
     2  2019    10 1000.958   0.032
     2  2019    11 1050.536   0.032
     2  2019    12 1042.541   0.031
     3  1990     1 1065.546   0.036
     3  1990     2  965.550   0.032
     3  1990     3 1070.183   0.036
     3  1990     4 1072.072   0.035
     3  1990     5 1088.477   0.035
     3  1990     6 1050.561   0.035
     3  1990     7  973.787   0.033
     3  1990     8 1029.640   0.034
     3  1990     9 1029.187   0.034
     3  1990    10 1125.274   0.037
     3  1990    11 1033.174   0.035
     3  1990    12 1076.054   0.036
     3  1991     1  969.742   0.033
     3  1991     2  986.900   0.035
     3  1991     3 1004.225   0.033
     3  1991     4 1059.841   0.036
     3  1991     5 1081.570   0.035
     3  1991     6 1068.541   0.035
     3  1991     7 1012.884   0.034
     3  1991     8 1012.753   0.035
     3  1991     9  991.077   0.033
     3  1991    10 1050.189   0.035
     3  1991    11  998.348   0.034
     3  1991    12 1047.334   0.034
     3  1992     1 1015.391   0.034
     3  1992     2  991.073   0.034
     3  1992     3 1031.173   0.034
     3  1992     4 1076.836   0.036
     3  1992     5  993.950   0.033
     3  1992     6 1015.599   0.034
     3  1992     7  999.010   0.034
     3  1992     8  946.317   0.033
     3  1992     9 1030.510   0.036
     3  1992    10  995.152   0.036
     3  1992    11 1068.784   0.036
     3  1992    12 1016.903   0.035
     3  1993     1 1058.480   0.035
     3  1993     2  961.129   0.033
     3  1993     3 1044.226   0.035
     3  1993     4 1030.174   0.035
     3  1993     5 1022.406   0.034
     3  1993     6  965.496   0.034
     3  1993     7  972.510   0.033
     3  1993     8 1099.612   0.035
     3  1993     9 1008.152   0.034
     3  1993    10 1079.234   0.036
     3  1993    11  989.190   0.033
     3  1993    12 1019.549   0.034
     3  1994     1 1023.152   0.035
     3  1994     2 1029.890   0.035
     3  1994     3 1050.228   0.036
     3  1994     4 1040.919   0.035
     3  1994     5 1120.516   0.037
     3  1994     6 1095.398   0.038
     3  1994     7  951.861   0.035
     3  1994     8 1177.803   0.040
     3  1994     9 1094.351   0.038
     3  1994    10 1102.821   0.039
     3  1994    11 1133.925   0.040
     3  1994    12 1118.964   0.038
     3  1995     1 1072.409   0.033
     3  1995     2 1177.418   0.035
     3  1995     3 1113.659   0.035
     3  1995     4 1259.901   0.038
     3  1995     5 1127.389   0.036
     3  1995     6 1109.833   0.035
     3  1995     7 1213.759   0.037
     3  1995     8 1125.192   0.036
     3  1995     9 1118.037   0.034
     3  1995    10 1195.418   0.036
     3  1995    11 1109.727   0.034
     3  1995    12 1158.856   0.035
     3  1996     1 1168.607   0.035
     3  1996     2 1040.106   0.032
     3  1996     3 1087.923   0.033
     3  1996     4 1167.956   0.035
     3  1996     5 1150.735   0.034
     3  1996     6 1142.123   0.032
     3  1996     7  983.653   0.030
     3  1996     8 1119.233   0.032
     3  1996     9 1010.110   0.030
     3  1996    10 1131.590   0.033
     3  1996    11 1047.540   0.029
     3  1996    12 1042.412   0.029
     3  1997     1 1057.674   0.035
     3  1997     2 1100.477   0.036
     3  1997     3  926.638   0.032
     3  1997     4  983.934   0.033
     3  1997     5  939.946   0.030
     3  1997     6 1031.519   0.033
     3  1997     7  973.405   0.032
     3  1997     8 1061.817   0.035
     3  1997     9  989.635   0.032
     3  1997    10  967.619   0.031
     3  1997    11  989.230   0.032
     3  1997    12  933.297   0.030
     3  1998     1  868.951   0.032
     3  1998     2  926.629   0.033
     3  1998     3 1014.990   0.035
     3  1998     4  875.464   0.033
     3  1998     5 1006.824   0.036
     3  1998     6  971.978   0.033
     3  1998     7  892.492   0.031
     3  1998     8  999.497   0.035
     3  1998     9  876.174   0.032
     3  1998    10  981.461   0.034
     3  1998    11  920.912   0.032
     3  1998    12  988.605   0.033
     3  1999     1  913.706   0.036
     3  1999     2  885.341   0.034
     3  1999     3  899.636   0.035
     3  1999     4  897.103   0.034
     3  1999     5  773.805   0.031
     3  1999     6  840.154   0.032
     3  1999     7  884.830   0.032
     3  1999     8  814.661   0.030
     3  1999     9  900.825   0.032
     3  1999    10  849.161   0.031
